deleterious	harmful
abstract	theoretical; not concrete; nonrepresentational
headlong	hasty; rash; headfirst; ADV.
gentility	those of gentle birth; high social class; refinement; quality of being genteel
armada	fleet of warships
collaborate	work together; cooperate treasonably with the enemy
stupor	state of being stupefied; state of apathy; daze; lack of awareness
coeval	living at the same time as; existing during the same period of time; contemporary; of the same age
dissimulate	pretend; conceal by feigning; dissemble
tumult	commotion of a great crowd; riot; noise; uproar; ADJ. tumultuous: noisy and disorderly
valedictory	pertaining to farewell; N: farewell address (esp. at graduation exercises)
tutelage	guardianship; training; function of a tutor; instruction
phoenix	symbol of immortality or rebirth; Ex. phoenix rising from its ashes
invidious	designed to create ill will or envy; tending to rouse ill will or envy; Ex. invidious comparison
constraint	restraint; compulsion; repression of feelings; reticence; V. constrain: hold back; restrain; compel; oblige; confine forcibly; imprison
conjecture	surmise; guess; V.
matrimony	state of being married
extradition	surrender of prisoner by one state to another; Ex. extradition treaty; V. extradite
juggernaut	irresistible crushing force; overwhelming advancing force that crushes everything in its path
criteria	standards used in judging; CF. criterion
prattle	talk idly; babble; N. CF. prate
graphite	black form of carbon used in lead pencils
plait	braid; interwine; interweave strands or lengths of; make by weaving strands together; Ex. plaited hair; N: braided length as of hair o fabric; CF. pigtail, ponytail
baleful	evil; malignant in intent or effect; deadly; having a malign influence; portending evil; ominous; threatening; Ex. baleful look
oversee	watch over and direct; supervise; N. oversight: unintentional failure to notice or do something; supervision
concise	brief and compact
lurk	stealthily lie in waiting; slink; exist unperceived
disconcert	confuse; upset; embarrass; perturb
unanimity	complete agreement; ADJ. unanimous
emissary	agent (sent on a mission to represent another); messenger
sleight	dexterity; CF. sleight of hand: legerdemain; quickness of the hands in doing tricks
verbalize	put into words; ADJ. verbal: of words; spoken rather than written; oral; of a verb
figurine	small ornamental statuette(very small statue)
drivel	nonsense; foolishness; V: talk nonsense
seethe	be violently disturbed; boil; (of a liquid) move about wildly as if boiling; Ex. The nation was seething with discontent.
breed	produce young; rear; bring up; produce (an undesirable condition); N: kind or sort of animal or plant
conspiracy	treacherous plot; secret plan against the law (by two or more people)
restitution	returning something (lost or stolen) to the rightful owner; reparation; indemnification; compensation for loss, damage, or injury
swarthy	(of a skin or complexion) dark; dusky; Ex. swarthy Italian ?
canto	division of a long poem
adamant	hard; inflexible
callow	youthful; immature; inexperienced
ventriloquist	someone who can make his or her voice seem to come from another person or thing (without moving lips or jaws); N. ventriloquism, ventriloquy
epic	long heroic poem, novel, or similar work of art (celebrating the feats of a hero); ADJ: (of stories or events) resembling an epic; grand
sear	burn the surface of; char or burn; brand; parch; cause (a plant) to wither
scraps	leftover food
jumble	mix in a confused way
nausea	feeling of sickness and desire to vomit; disgust; CF. seasickness
tenet	doctrine; dogma
gargoyle	waterspout carved in grotesque figures on a building
unwarranted	unjustified; having no justification; groundless; baseless; undeserved
ensue	follow (as a result)
viscous	(of a liquid) thick and sticky; gluey; viscid; CF. consistency
sow	plant or scatter seed
endue	provide with some quality; endow
punctilious	minutely attentive (perhaps too much so) to fine points; stressing niceties of conduct or form; N. punctilio, punctiliousness: careful attention payed to every small exact detail
jettison	throw overboard (from a ship or plane)
derision	ridicule; ADJ. derisive; CF. derisory
convoluted	coiled around; twisted; involved; complicated; intricate; complex; N. convolution: twist; one of the convex folds of the surface of the brain
canter	slow gallop; V. CF. trot
cog	tooth projecting from a wheel
patriarch	father and ruler of a family or tribe
overturn	turn over; capsize; topple
wane	decrease in size or strength (after being full); grow gradually to an end; Ex. The moon waxes and wanes every month; N.
crinkle	wrinkle
cabal	 small group of persons secretly united to promote their own interests
fathom	comprehend; investigate; determine the depth of; N. unit of measurement for the depth of water
rancid	having the odor of stale or decomposing fat; rank
pillage	plunder
conjugal	pertaining to marriage
ciliated	having minute hairs; CF. cilium; CF. cilia: eyelash
analgesia	condition of being unable to feel pain
invective	abuse
distant	reserved or aloof; cold in manner; Ex. distant greeting; ADV. distantly
malediction	curse
unprecedented	having no previous example; novel; unparalleled
incantation	singing or chanting of magic spells; magical formula; (the saying of) words used in magic; CF. enchant
interregnum	period between two successive reigns or governments
submissive	willing to obey orders; yielding; timid
remittance	remitting of money; amount of money remitted
feline	of a member of the cat family; N.
fulcrum	support on which a lever rests or pivots
muster	gather; assemble (troops); Ex. muster up one's strength for the ordeal; N.
tightwad	miser; excessively frugal person
demean	disgrace; humiliate; debase in dignity; behave
artifice	deception; trickery
feature	distinctive part of the faces (as the eyes or mouth); features: overall appearance of the face; prominent or distinctive quality; prominent article; film; V: make prominent
taunt	deride or provoke; challenge in derision; N.
decant	pour off gently (wine or liquid)
lull	moment of calm; period of reduced activity; Ex. a lull in the rain; V: cause to become less active; cause to sleep or rest; Ex. lull the opponents into a false sense of security; CF. lullaby
magnitude	greatness (in size or extent); extent
farce	broad comedy; mockery; humorous play full of silly things happening; ADJ. farcical
calculated	deliberately planned; likely
enunciate	announce; proclaim; utter or speak, especially distinctly; pronounce clearly; articulate; Ex. This theory was first enunciated by him.
practical	based on experience; of or acquired through practice (rather than theory); useful; Ex. practical man
stint	supply; allotted amount of work; assigned portion of work; limitation; Ex. two-year stint in the army; Ex. without stint
incredulity	tendency to disbelief
prohibitive	so high as to prohibit purchase or use; tending to prevent the purchase or use of something; prohibiting; inclined to prevent or forbid; Ex. prohibitive tax
sophistry	seemingly plausible but fallacious reasoning; sophism
nondescript	undistinctive; ordinary; ordinary-looking; Ex. nondescript fellow in a crowd
contumacious	stubborn and disobedient; resisting authority (esp. disobedient to an order made by a court)
plaster	paste that hardens to a smooth solid and is used for coating walls; V.
winnow	sift; separate the chaff from grain by blowing; separate good parts from bad; CF. wind
callus	area of thick hard skin
evasive	not frank; trying to hide the truth; eluding; evading; V. evade: avoid (a duty or responsibility) or escape from by deceit
mandatory	obligatory; compulsory; of a mandate
dismiss	eliminate from consideration; no longer consider; put out of court without further hearing; reject; discharge from employment; direct to leave; ADJ. dismissive; N. dismissal
ploy	strategem to gain an advantage; tactic; Ex. management ploy
harry	harass, annoy, torment (by repeated attacks); raid
protocol	diplomatic etiquette; ceremony and etiquette observed by diplomats; first copy of a treaty before its ratification; Ex. Protocol demands that the queen meet him at the airport.
gloss_over	explain away with the intention of deceiving or hiding faults
buxom	full-bosomed; plump; jolly
gambit	opening in chess in which a piece is sacrificed; action made to produce a future advantage
monetary	pertaining to money
inter	bury; N. interment
protagonist	leader or noticeable supporter of an idea; chief character in a play or story
preternatural	beyond what is normal in nature; supernatural; Ex. preternatural strength/forces
inadvertently	unintentionally; by oversight; carelessly
revelry	boisterous merrymaking; V. revel: engage boisterous festivities; enjoy greatly; N: boisterous festivity or celebration
coup	highly successful action or sudden attack; coup(s) d'\'etat; CF. coup de gr\^ace: deathblow or shot which kills
woeful	sad; (of something bad) deplorable; deplorably bad; Ex. woeful housing conditions
anemia	condition in which blood lacks red corpuscles; ADJ. anemic
debase	degrade; reduce in quality or value; degenerate; lower in esteem; disgrace; N. debasement
leaven	add leaven to; cause to rise or grow lighter; enliven; N: agent, such as yeast, that causes dough to rise (by fermentation); element that lightens or enlivens
adjacent	adjoining; neighboring; close by
dogmatic	opinionated; holding stubbornly to one's opinion; arbitrary; doctrinal
amnesty	pardon (allowed by government to political criminals)
emblazon	ornament richly (a shield or flag); N. emblazonment
prong	pointed projecting part
consummate	complete; V.
inconsistency	state of being self-contradictory; lack of uniformity or steadiness; ADJ. inconsistent: displaying a lack of consistency; erratic; contradictory; incompatible
despot	tyrant; harsh, authoritarian ruler; CF. despotism
vital	full of life; animated; vibrant and lively; critical; of great importance; necessary to stay alive; of life; living; breathing; N. vitality; V. vitalize
pallid	pale; wan; Ex. pallid complexion
sextant	navigation tool used to determine a ship's latitude and longitude (by measuring the altitudes of stars)
qualified	limited; restricted; V. qualify: limit the meaning of; modify
cursory	casual; hastily done with little attention to detail
horoscope	diagram of the positions of stars at a given moment (eg. of a person's birth) used by astrologers
rampart	defensive mound of earth
incur	bring upon oneself
odoriferous	giving off an odor
cow	terrorize; intimidate
neophyte	recent convert; new member of a religious group; beginner; CF. plant
mercurial	capricious; quick and changing; fickle; containing the element mercury; Ex. mercurial temper; CF. mood
mishap	unfortunate accident
unearth	dig up; discover (facts) by careful searching; Ex. He unearthed some secrets about her; OP. conceal
abusive	coarsely insulting; physically harmful
outstrip	outrun; surpass; outdo
blunder	error; stupid mistake
restraint	moderation or self-control; controlling force; restriction
ovoid	egg-shaped; CF. ovum; CF. ovulate
censure	blame; criticize; express strong disapproval; N: severe criticism; strong disapproval
novice	beginner
assimilate	absorb; take (food) into the body and digest it; understand (knowledge) completely and be able to use properly; cause to become homogeneous (the people of a country or race in the wasy of behaving or thinking)
numismatist	person who collects coins; N. numismatics: study or collection of money, coins, and medals
disclose	reveal; N. disclosure
plaudit	praise; enthusiastic approval; round(succession or series) of applause; ADJ. plauditory; CF. applaud
pragmatic	practical (as opposed to idealistic); concerned with practical worth or impact of something; Ex. pragmatic test of the skill
discrepancy	lack of consistency or agreement as between facts; difference; Ex. discrepancy between two descriptions
deadpan	wooden; impassive; with no show of feeling; with an expressionless face
haunt	(of a spirit) visit (a place); come to mind continually; visit (a place) regularly; frequent; Ex. haunted house; Ex. haunted by his last words; N: place much frequented
affront	insult; offense; intentional act of disrespect; V: insult or hurt the feelings of intentionally
offensive	attacking; insulting; distasteful; V. offend: violate; hurt the feelings of; N. offense: offending; violating of a moral or social code; crime; attack; Ex. first offense
negate	cancel out; nullify; cause to have no effect; deny; N. negation
hybrid	mongrel; mixed breed; V. hybridize
gusto	eager enjoyment; zest; enthusiasm
infiltrate	pass into or through; penetrate or enter (an organization) sneakily; Ex. infiltrate the troops into enemy territory; CF. infiltrator
raucous	(of voice) harsh and unpleasant; (of people) disorderly and boisterous; Ex. raucous shouts
infer	deduce; conclude; N. inference
lampoon	ridicule; N: written attack ridiculing or satirizing a person, group, or institution
inverse	opposite
quaff	drink with zest; drink with relish(zest; hearty enjoyment); CF. sip
uncouth	boorish; clumsy in speech or behavior; outlandish
philanthropist	lover of mankind; doer of good; N. philanthropy
actuarial	calculating; pertaining to insurance statistics
nautical	pertaining to ships or navigation
frivolous	lacking in seriousness; flippant; self-indulgently carefree; unworthy of serious attention; relatively unimportant; trivial
cadence	rhythmic rise and fall (of words or sounds); beat; regular beat of sound; rhythm
maroon	leave helpless on a deserted island or coast; ADJ. red brown
anarchist	person who seeks to overturn the established government; advocate of abolishing authority
cater	provide food and drink (for); cater to: try to satisfy (desires of a bad kind)
immure	imprison; shut up in confinement; CF. wall
transitory	transient; impermanent; fleeting; N. transitoriness
calumny	malicious misrepresentation; slander
effectual	able to produce a desired effect; valid
expurgate	clean; remove offensive parts of a book
prowess	extraordinary ability; military bravery; Ex. prowess in battle
apologist	one who writes in defense of a cause or institution; N. apologia
orator	public speaker
sinecure	well-paid position with little responsibility; CF. sine cure: without care; CF. San Serif
sway	swing from side to side; influence (someone) to change one's opinion; N.
hierarchy	arrangement by rank or standing; authoritarian body divided into ranks; body of persons having authority
bombast	grandiloquent, pompous speech
mangle	tear or cut to pieces; mutilate or disfigure; Ex. badly mangled bodies
figment	invention; something invented; imaginary thing; Ex. figment of your imagination
totter	shake or move unsteadily; sway as if about to fall
meretricious	flashy; tawdry; attractive on the surface but of no real value; Ex. metericious argument/jewel; CF. prostitute
addiction	compulsive habitual need
prolific	producing offspring or fruit in abundance; fertile; fecund; abundantly fruitful; producing abundant works; Ex. prolific writer
calorific	heat-producing; N. calorie
pastiche	imitation of another's style in musical composition or in writing; work of art openly imitating the works of other artists
quintessence	purest and highest embodiment; perfect example; apotheosis; most essential element; Ex. quintessence of wit; ADJ. quintessential; CF. fifth essence
hilarity	boisterous mirth(merriment; laughter); ADJ. hilarious: full of laughter
anomalous	abnormal; irregular
lance	pierce with a lance; cut into; N: spearlike weapon
abode	dwelling place; home
historical	connected with history; based on events in history (whether regarded as important or not)
ulcer	sore place appearing on the skin inside or outside the body; Ex. stomach ulcer; ADJ. ulcerous; V. ulcerate
retrograde	go backwards; recede; degenerate; deteriorate; ADJ.
lilliputian	extremely small; CF. Lilliput in Gulliver's Travels
irretrievable	impossible to recover or regain; CF. retrieve
seine	seine net; net for catching fish
diadem	crown
taper	very thin candle; gradual decrease in the width of a long object; V. make or become gradually narrower toward one end
explicate	explain in detail; interpret; clarify; CF. explicable
oblivion	obscurity; condition of being completely forgotten; forgetfulness
interdict	prohibit; forbid; N.
vintner	wine merchant; winemaker; seller of wine
gargantuan	huge; enormous; gigantic; CF. the hero of Gargantua and Pantagruel
exhume	dig out of the ground; remove from a grave
eon(aeon)	long period of time; an age; longest division of geologic time containing two or more eras
facade(fa\c{c}ade)	front or face (of building); superficial or false appearance
mandate	order; charge; authoritative command; power to govern another country; power to given to a government; region under administration; V: give a mandate to; place under a mandate; Ex. mandated territory
trepidation	fear; nervous apprehension
smolder	smoulder; burn slowly without flame; be liable to break out at any moment; exist in a suppressed state; Ex. smoldering anger
puny	tiny; weak; insignificant
dotage	senility; feeblemindedness of old age; Ex. In one's dotage
barefaced	shameless and noticeable; blatant; bold; unconcealed; having no covering on the face; Ex. barefaced lie
repellent	driving away; disgusting; offensive; repulsive; unattractive; N.
depose	dethrone; remove from office; give a deposition; testify
tendentious	promoting a particular point of view; biased; having an aim; designed to further a cause; Ex. tendentious rather than truth-seeking; CF. tend: move in a certain direction
grouch	bad-tempered complaint; person who keeps complaining; V: complain; grumble
latitude	freedom from narrow limitations
blase	bored with pleasure or dissipation; uninterested or bored
animus	hostile feeling or intent; animosity; hostility; disposition
symbiosis	interdependent relationship (between groups, species) often mutually beneficial; ADJ. symbiotic; CF. together + life
doff	take off; OP. don
rescind	repeal; annul; cancel (a law, decision, or agreement)
propinquity	nearness (in space or relationship); proximity; kinship
millennium	thousand-year period (as in the New Testament); hoped-for period of happiness and prosperity
deface	mar; disfigure
induce	persuade; lead to do something; bring about; N. inducement
apathy	lack of caring; indifference; lack of concern or interest in important matters; Ex. He was sunk in apathy after his failure; ADJ. apathetic
percussion	striking one object against another sharply; Ex. percussion instrument; N: striking together of two bodies; sound caused by percussion
deducible	derived by reasoning; V. deduce: infer; derive by reasoning
shyster	lawyer using questionable methods; unscrupulous practioner
outrage	act of extreme violence or viciousness; resentful anger; V: commit an outrage on; produce anger in; ADJ. outrageous: offensive
ostensible	apparent; appearing as such; professed(pretended); pretended; Ex. ostensible purpose of the expedition
dormant	sleeping; temporarily inactive; lethargic; latent
addendum	addition; appendix to book; something that is added (as at the end of a speech or book)
pummel	pommel; beat or pound with fists
squash	crush; quash; suppress
plumber	one who installs and repairs pipes and plumbing(pipes)
skulduggery(skullduggery)	dishonest behavior or action; Ex. skulduggery in the election
weird	eerie; strange; unnatural
pith	core or marrow; spongelike substance in the center of stems; essence; substance
incentive	spur; motive; something which encourages one to greater activity
gestate	evolve as in prenatal growth; N. gestation: period of development from conception until birth
betroth	become engaged to marry
cringe	shrink back as if in fear; cower
hew	cut to pieces with ax or sword; chop; N.
dehydrate	remove water from; dry out
grotesque	fantastic; comically hideous; strange and unnatural (causing fear or amusement)
superficial	of the surface; not deep; shallow; not thorough; trivial; Ex. superficial analysis/knowledge
combustible	easily burned; N. CF. combustion
untoward	unexpected and adverse; unfortunate or unlucky; Ex. untoward encounter
sedentary	requiring sitting; done while sitting; not moving from one place to another; settled; Ex. sedentary job/population
harrowing	agonizing; distressing; traumatic; V. harrow: break up and level (soil) with a harrow; inflict great distress on; agonize; N: farming machine to break up the earth
sheathe	place into a case; insert into or provide with a sheath; Ex. He sheathed his dagger; N. sheath: case for a blade
gambol	romp; skip about; leap about playfully; frolic; N.
maxim	proverb; truth pithily stated
rag	scrap of cloth; ADJ. ragged: old and torn; seeming unfinished and imperfect; Ex. ragged debut/performance
fastidious	difficult to please; squeamish; fussy; finicky
prefigure	be a sign of; foreshadow
factious	inclined to form factions; causing dissension
flair	talent
equipoise	balance; balancing force; equilibrium
expropriate	take possession of (often for public use and without payment)
mire	entangle; stick in swampy ground; stick or sink in mire; N: bog; deep mud; Ex. sucked deeper into the mire
effervescence	inner excitement or exuberance; showing high spirits; emitting bubbles forming inside; bubbling from fermentation or carbonation; ADJ. effervescent; V. effervesce
facet	small plane surface (of a gem(precious stone)); a side
filibuster	block legislation or prevent action in a lawmaking body by making very slow long speeches; N; freebooter
peripheral	of a periphery; marginal; outer; of minor importance; not central; Ex. peripheral nerve/interest
obstreperous	boisterous; noisy and uncontrollable
inflated	exaggerated; pompous; enlarged (with air or gas)
phlegmatic	calm and unexcitable; not easily disturbed; CF. phlegm: sticky mucus produced in the respiratory tract
mortify	humiliate by embarassing excessively; shame; punish the flesh; discipline (one's body) by self-denial; Ex. mortified by her blunder; Ex. mortify the flesh; CF. cause to die
dissertation	formal essay; treatise
arid	(of land) dry; barren; unproductive
clip	cut off with shears; fasten; N: something clipped off (as a short extract from film); clasp or fastener
surmount	overcome
crass	very unrefined; grossly insensible; crude and undiscriminating; Ex. crass behavior
insouciant	without concern or care; unconcerned; indifferent
quack	 charlatan; impostor
estimable	(of a person) worthy of esteem; admirable; deserving esteem; possible to estimate
mangy	shabby; wretched; suffering from mange; of bad appearance
reprise	musical repetition; repeating of a piece of music; repeat performance; recurrent action; Ex. reprise in the finale; Ex. constant reprises
religious	of religion; (of a person) pious; having reverence for a deity
enjoin	command; order; forbid
misgivings	doubts
dank	damp; unpleasantly wet
abdicate	renounce; give up (position, right, or responsibility)
proletarian	member of the working class; blue collar guy; N. proletariat: working class (who have to work for wages)
indite	write; compose
specious	seemingly reasonable but incorrect; misleading (often intentionally)
fleece	wool coat of a sheep; V: shear the fleece from; rob by a trick; swindle; plunder
contortions	twistings; distortions; V. contort: twist violently out of shape; CF. contortionist
complementary	serving to complete something
lookout	act of keeping watch; high place commanding a wide view; person who keeps watch
prompt	cause; urge; provoke; provide a cue (for an actor); ADJ: done without delay; done at the right time; punctual; on time; N: reminder or cue
habitat	 natural home of a plant or animal; CF. habitation
wry	(esp. of an expression of the face) twisted; with a humorous twist (expressing displeasure)
stanza	division of a poem (composed of two or more lines)
clamber	climb by crawling with difficulties; scramble
gazette	official periodical publication; newspaper
ingenue	ing\'enue; young innocent girl
asteroid	small planet
authoritarian	subordinating the individual to the state; completely dominating another's will; Ex. authoritarian regime/father
surpass	exceed
vigilant	watchful; on the alert; watchfully awake; alert to spot danger; N. vigilance
dispel	scatter; drive away; cause to vanish
retiring	shy and reserved (of a person); modest; Ex. her retiring personality
skittish	inconstant; capricious; frivolous; not serious; Ex. charming but skittish young woman; CF. skit
archetype	prototype; primitive pattern
recuperate	recover; return to health; regain; Ex. recuperate losses
swamp	wetland; marsh; V: flood; overwhelm; drench in with liquid
monotony	sameness leading to boredom; monotonousness; ADJ. monotonous; CF. monotone
obsidian	black volcanic rock
faction	party; clique (within a large group); dissension
musky	having the odor of musk; N. musk: odorous substance secreted by an Asian deer
pernicious	very harmful; deadly; very destructive; Ex. pernicious effect/anemia
maraud	move in search of plunder; Ex. marauding army
embroider	decorate with needlework; ornament (a story) with fancy or fictitious details; embellish
obelisk	tall column tapering(becoming gradually narrower toward the end) and ending in a pyramid
piscatorial	pertaining to fishing; CF. Pisces
livid	lead-colored; black and blue (as from a bruise); ashen; enraged; extremely angry
edict	decree (especially one issued by a sovereign); official command
anesthetic	substance that removes sensation with or without loss of consciousness; N. anesthesia
inordinate	beyond reasonable limits; unrestrained; excessive; Ex. inordinate demands
substantial	of substance; material; solid; essential or fundamental; ample; considerable; well-to-do; wealthy
scintilla	trace; minute amount; shred; least bit; Ex. There is not a scintilla of truth; CF. spark
chauvinist	blindly devoted patriot; zealous adherent of a group, cause, or sex; ADJ. chauvinistic; CF. chauvinism; Nicolas Chauvin
fecundity	fertility; fruitfulness; ADJ. fecund: very productive of crops or young
transmute	transform; change; convert to something different
artful	exhibiting art or skill; deceitful; cunning; CF. artifice
barrage	barrier laid down by artillery fire; overwhelming profusion; large number of questions or statements; Ex. a barrage of criticism
emboss	produce a design in raised relief; decorate with a raised design
glaring	(of something bad) highly conspicuous; harshly bright; shining intensely and blindingly
accost	approach and speak first to a person
centurion	Roman army officer (commanding a company of about 100 soldiers)
quiver	tremble; shake; N.
emancipate	set free; liberate
elegy	poem or song expressing lamentation (for the dead); ADJ. elegiacal, elegiac
hap	chance; luck
agog	highly excited; intensely curious
secrete	conceal; hide away or cache; produce and release a substance into an organism; CF. secretive
mordant	biting; sarcastic; stinging; (apprec.) incisive; cutting; Ex. mordant pen/wit
foliage	masses of leaves; CF. defoliate
mace	ceremonial staff used as a symbol of authority; clublike medieval weapon
institution	instituting; (building for the) organization; established custom, practice, or relationship in a society; mental hospital; Ex. institution of marriage
peerless	having no equal; incomparable
optimist	person who looks on the bright side; N. optimism
dominant	exercising the most influence; high and easily seen; stronger than the other part of a system; not recessive
mutter	utter (complaining words) indistinctly in low tones
prime	period of ideal or peak condition; earliest or beginning stage; Ex. in the prime of life; Ex. prime of the year(spring); ADJ: first in importance or rank; first; V: make ready; prepare
drab	dull; lacking color; cheerless ; Ex. drab coat/life
pudding	hot sweet dish
expertise	specialized knowledge (in a particular field); expert skill
elope	run away secretly with the intention of getting married
friction	clash or conflict in opinion; rubbing against
bedraggle	wet thoroughly; ADJ. bedraggled: draggled
merit	deserve; ADJ. meritorious: deserving reward or praise
fatuous	smugly and unconsciously foolish; inane; silly; N. fatuity, fatuousness
drudgery	hard unpleasant work; menial work
mottled	blotched in coloring; spotted; Ex. mottled face; V. mottle: mark with blotches of different colors
magnate	person of prominence or influence; powerful or influential person (in business or industry); Ex. oil magnate
parquet	floor made of wood strips inlaid in a mosaic like matter; CF. strip: long narrow piece
concoct	prepare by mixing or combining; make up in concert; devise (something false) so as to deceive; Ex. concoct an elaborate excuse for being late; N. concoction
dais	raised platform for speakers or other important people
intervene	come between; interfere; Ex. intervened to prevent a fight; N. intervention
voodoo	religion practiced chiefly in Haiti
thespian	pertaining to drama; N: actor or actress
occult	mysterious; secret; supernatural; beyond human comprehension; CF. mysterious to human ?; OP. bare
grandeur	impressiveness; stateliness; majesty
tactful	careful no to cause offence; OP. tactless
fanaticism	excessive zeal; extreme devotion to a belief or cause; N. fanatic; ADJ. fanatic
inextricable	from which it is impossible to get free; that cannot be untied; Ex. inextricable troubles; Ex. inextricable two histories
gauche	clumsy (in social behavior); coarse and uncouth
debar	bar; forbid; exclude; Ex. debarred from jury services
browbeat	bully; intimidate
convention	social or moral custom; established practice; formal meeting; international agreement
pertinent	suitable; to the point; relevant
husbandry	frugality; thrift; economy; agriculture; farming; Ex. animal husbandry; CF. husbandman
psychopathic	pertaining to mental dearrangement; N. psychopath: person with an antisocial personality disorder
palimpsest	parchment or piece of writing material used for second time after original writing has been erased
shear	remove (fleece or hair) by cutting; remove the hair or fleece from; cut with or as if with shears; N: shears; pair of scissors
tawny	brownish yellow
outlaw	fugitive from the law (excluded from legal protection); V: declare (someone) to be an outlaw; deprive of the protection of the law; declare illegal; Ex. Drinking has been outlawed.
bode	foreshadow; portend
laity	laypersons; laymen; persons not connected with the clergy
healthy	possessing good health; healthful
abominable	detestable; extremely unpleasant
lofty	very high
glacial	like a glacier; of an ice age; extremely cold; Ex. glacial epoch; CF. iceberg
formality	ceremonious quality; ceremonious adherence to rules; something done just for form's sake; Ex. mere formality
subjective	influenced by personal feelings; occurring or taking place within the mind; unreal; Ex. subjective sensation of the ghostly presence
invocation	prayer for help (used in invoking); calling upon as a reference or support; act of invoking
unintimating	unfrightening
sumptuous	grand suggesting great expense; lavish; rich; Ex. sumptuous feast
nocturnal	done or active at night; Ex. nocturnal animals/raids; CF. nocturne
menagerie	collection of wild animals on exhibition; zoo
bliss	complete happiness; ADJ. blissful
contraband	illegal trade; smuggling; smuggled goods; ADJ.
standstill	condition of no movement or activity; stop
reciprocate	do or give something in return; repay in kind; give or take mutually; interchange; move
hothead	person who does things too quickly without thinking; ADJ. hotheaded
bask	luxuriate; take pleasure in warmth
sodden	thoroughly soaked; dull or stupid as if from drink
corrugated	wrinkled; ridged
ineffectual	not effective; not having a desired effect; weak
embrace	hug; clasp with the arms; adopt or espouse; accept readily; encircle; include; Ex. embrace the cause/socialism; Ex. all-embracing; CF. brace; CF. bracelet
aboriginal	being the first of its kind in a region; primitive; native; indigenous; N. aborigine
mendacious	lying; habitually dishonest; N. mendacity
disband	dissolve; disperse; (of a group) break up and separate; Ex. The club has disbanded.
emaciated	thin and wasted (from hunger or illness)
stricture	severe and adverse criticism; critical comments; limit or restriction
infallible	unerring; never making mistakes
solemnity	seriousness; gravity
enormity	hugeness (in a bad sense); excessive wickedness; Ex. enormity of the crime; ADJ. enormous
breadth	width; extent
sidereal	relating to stars; Ex. sidereal day
immaculate	spotless; flawless; absolutely clean
reconcile	make friendly again (after quarrel); make consistent (two ideas in opposition); correct inconsistencies; Ex. reconcile one's political principles with one's religious beliefs
euphemism	mild expression in place of an unpleasant one; ADJ. euphemistic
wholesome	conducive to mental or physical health; healthful
recondite	abstruse; not easily understood; profound; secret
benediction	blessing
dissident	dissenting (with an opinion, a group, or a government); rebellious; N.
patrician	noble; aristocratic; N: person of high rank; aristocrat; CF. member of the governing classes in ancient Rome; CF. plebian
padre	chaplain (in the armed forces)
fervid	ardent; zealous; hot
subpoena	writ(written command issued by a court) summoning a witness to appear in court; V: summon with a subpoena
kneel	go down on one's knee(s)
ransack	search thoroughly; pillage (going through a place); Ex. Enemy soldiers ransacked the town.
gape	open widely; open the mouth wide; stare wonderingly with the mouth open; CF. agape
stammer	speak with involuntarily pauses or repetitions
bank	heap; piled-up mass; embankment; lateral tilting (as of an aircraft in turning); V: pile up; protect with a bank; tilt in turning
dispatch	speediness; prompt execution; message sent with all due speed; V: send to a specified destination; finish promptly; kill
latch	fastening or lock consisting of a movable bar that fits into a notch; V: close with a latch
ego	one's opinion of oneself; self-esteem
polygamist	one who has more than one spouse at a time; CF. bigamy; CF. polyandry
defalcate	embezzle
frolicsome	prankish; gay; playful; merry; frisky
eulogistic	praising; full of eulogy
intransigence	refusal of any compromise; stubbornness; ADJ. intransigent: uncompromising
eerie	weird; causing fear because strange
doze	sleep lightly; nap
manifest	evident; visible; obvious; V: show plainly
buttress	support; prop up; N. stationary structure to support wall; Ex. flying buttress
acumen	mental keenness; sharpness of judgment; ability to judge quickly and well; Ex. business acumen
pharisee	Pharisee: member of an ancient Jewish group that emphasized strict observance of the Mosaic law (considering themselves very holy); hypocritical self-righteous person
amphitheater	oval building with tiers of seats; CF. arena
wanderlust	strong longing to travel
esoteric	hard to understand; known only to the chosen few, esp. initiates; N. esoterica
lag	move or develop more slowly; straggle; Ex. lag behind the rest; N.
indelible	not able to be erased
historic	important in history; Ex. historic battle
remiss	negligent; careless about a duty
amalgam	combination of different things; mixture of metals (containing mercury) used for filling holes in teeth
internecine	mutually destructive
contrived	unnatural and forced; artificial; not spontaneous; Ex. The ending was rather contrived.
effete	having lost one's original power; barren; worn out; exhausted
lineage	descent; ancestry
pan	criticize harshly
personify	represent (an inanimate object) as a person; be the embodiment or perfect example of; Ex. She is evil/patience personified; N. personification
libretto	text of an opera or oratorio; CF. book
silt	sediment deposited by running water (at the entrance to a harbor or by a bend in a river)
conservatory(conservatoire)	school of the fine arts (especially music or drama); glass-enclosed area; CF. conservancy
carapace	shell covering the back (of a turtle, tortoise, crab, etc.)
tact	skill or sensitivity in dealing with people without causing offence
cataract	great waterfall; eye abnormality (causing a gradual loss of eyesight)
astral	relating to the stars
Elysium	place or condition of bliss
mediocre	ordinary; commonplace; neither good nor bad
gamely	in a spirited manner; with courage; Ex. fight gamely against a superior boxer; ADJ. game
marginal	of a margin; barely within a limit; Ex. marginal effect/writing ability
tangible	able to be touched; real; concrete; palpable; possible to realize or understand; Ex. tangible proof
